SeriesID,SeriesCode,Series,Unit,Database,Year,AreaName,AreaCode,DisaggregationGroup,Disaggregation1,Disaggregation2,Value,Notes,Source,LastModifiedOn
8812,HHA4213-%_HH-CHILDREN-URBAN,HH06 - Households with Internet access at home - %_HH - CHILDREN - URBAN,% of households,ITU Households Database,2018,Romania,ROU,Location,Children,Urban,96.9292403638654,Number of households which have children under 16 years old,National Institute of Statistics,2024-07-08
8810,HHA4213-%_HH-CHILDREN-,HH06 - Households with Internet access at home - %_HH - CHILDREN,% of households,ITU Households Database,2018,Romania,ROU,Family,Children,,92.37419372090054,Number of households which have children under 16 years old,National Institute of Statistics,2026-07-06
8816,HHA4213-%_HH-NOCHILDREN-,HH06 - Households with Internet access at home - %_HH - NOCHILDREN,% of households,ITU Households Database,2018,Romania,ROU,Family,No Children,,75.36804733360952,Number of households which does not have children under 16 years old,National Institute of Statistics,2026-07-05
8818,HHA4213-%_HH-NOCHILDREN-URBAN,HH06 - Households with Internet access at home - %_HH - NOCHILDREN - URBAN,% of households,ITU Households Database,2018,Romania,ROU,Location,No Children,Urban,84.26189341812925,Number of households which does not have children under 16 years old,National Institute of Statistics,2026-07-05
12047,xHH6_IDI,Estimated proportion of households with Internet access at home,% of households,ITU World Telecommunication Indicators Database,2018,Romania,ROU,,,,80.8857775036094,,National Institute of Statistics,2024-01-23
12047,xHH6_IDI,Estimated proportion of households with Internet access at home,% of households,ITU World Telecommunication Indicators Database,2018,Rwanda,RWA,,,,12.8068754940566,,ITU estimate,2021-11-29
12047,xHH6_IDI,Estimated proportion of households with Internet access at home,% of households,ITU World Telecommunication Indicators Database,2018,Russian Federation,RUS,,,,76.5795175597355,,Federal State Statistics Service of the Russian Federation,2024-01-23
8820,HHA4213-%_HH-URBAN-,HH06 - Households with Internet access at home - %_HH - URBAN,% of households,ITU Households Database,2018,Russian Federation,RUS,Location,Urban,,79.66855510182096,,Federal State Statistics Service (Rosstat) ,2026-07-05
8819,HHA4213-%_HH-RURAL-,HH06 - Households with Internet access at home - %_HH - RURAL,% of households,ITU Households Database,2018,Russian Federation,RUS,Location,Rural,,67.08700359134822,,Federal State Statistics Service (Rosstat) ,2026-07-06
12047,xHH6_IDI,Estimated proportion of households with Internet access at home,% of households,ITU World Telecommunication Indicators Database,2018,Sweden,SWE,,,,96.0608548880069,,ITU estimate,2021-11-29
12047,xHH6_IDI,Estimated proportion of households with Internet access at home,% of households,ITU World Telecommunication Indicators Database,2018,Sudan,SDN,,,,13.0920939169187,,ITU estimate,2021-11-29
12047,xHH6_IDI,Estimated proportion of households with Internet access at home,% of households,ITU World Telecommunication Indicators Database,2018,Senegal,SEN,,,,6.61960286,,Demographic and Health Survey 2018,2024-01-23
12047,xHH6_IDI,Estimated proportion of households with Internet access at home,% of households,ITU World Telecommunication Indicators Database,2018,Seychelles,SYC,,,,64.3630638063351,,ITU estimate,2021-11-29
