SeriesID,SeriesCode,Series,Unit,Database,Year,AreaName,AreaCode,DisaggregationGroup,Disaggregation1,Disaggregation2,Value,Notes,Source,LastModifiedOn
8917,HHA422-%_HH--,HH04 - Households with a computer - %_HH,% of households,ITU Households Database,2019,Jamaica,JAM,,,,38.73151584547047,,Statistical Institute of Jamaica,2026-07-05
8907,HHA422-%_HH-CHILDREN-RURAL,HH04 - Households with a computer - %_HH - CHILDREN - RURAL,% of households,ITU Households Database,2019,Kenya,KEN,Location,Children,Rural,2.7414615454269526,Desk Top Computer/Laptop/ Tablet,KENYA NATIONAL BUREAU OF STATISTICS,2026-07-06
8913,HHA422-%_HH-NOCHILDREN-RURAL,HH04 - Households with a computer - %_HH - NOCHILDREN - RURAL,% of households,ITU Households Database,2019,Kenya,KEN,Location,No Children,Rural,3.5461323622185286,Desk Top Computer/Laptop/ Tablet,KENYA NATIONAL BUREAU OF STATISTICS,2026-07-05
8912,HHA422-%_HH-NOCHILDREN-,HH04 - Households with a computer - %_HH - NOCHILDREN,% of households,ITU Households Database,2019,Kenya,KEN,Family,No Children,,11.114251500075907,Desk Top Computer/Laptop/ Tablet,KENYA NATIONAL BUREAU OF STATISTICS,2026-07-05
8916,HHA422-%_HH-URBAN-,HH04 - Households with a computer - %_HH - URBAN,% of households,ITU Households Database,2019,Kenya,KEN,Location,Urban,,18.042364388802483,Desk Top Computer/Laptop/ Tablet,KENYA NATIONAL BUREAU OF STATISTICS,2026-07-05
8917,HHA422-%_HH--,HH04 - Households with a computer - %_HH,% of households,ITU Households Database,2019,Kenya,KEN,,,,8.817493267210939,Desk Top Computer/Laptop/ Tablet,KENYA NATIONAL BUREAU OF STATISTICS,2026-07-05
8914,HHA422-%_HH-NOCHILDREN-URBAN,HH04 - Households with a computer - %_HH - NOCHILDREN - URBAN,% of households,ITU Households Database,2019,Kenya,KEN,Location,No Children,Urban,18.469033744055512,Desk Top Computer/Laptop/ Tablet,KENYA NATIONAL BUREAU OF STATISTICS,2026-07-05
8908,HHA422-%_HH-CHILDREN-URBAN,HH04 - Households with a computer - %_HH - CHILDREN - URBAN,% of households,ITU Households Database,2019,Kenya,KEN,Location,Children,Urban,17.629047698643046,Desk Top Computer/Laptop/ Tablet,KENYA NATIONAL BUREAU OF STATISTICS,2026-07-05
8915,HHA422-%_HH-RURAL-,HH04 - Households with a computer - %_HH - RURAL,% of households,ITU Households Database,2019,Kenya,KEN,Location,Rural,,2.984751094509052,Desk Top Computer/Laptop/ Tablet,KENYA NATIONAL BUREAU OF STATISTICS,2026-07-06
8906,HHA422-%_HH-CHILDREN-,HH04 - Households with a computer - %_HH - CHILDREN,% of households,ITU Households Database,2019,Kenya,KEN,Family,Children,,7.434544663445737,Desk Top Computer/Laptop/ Tablet,KENYA NATIONAL BUREAU OF STATISTICS,2026-07-06
