departamento,anio,indicador,valor,nivel,fuente,unidad
CALDAS,2021,pct_hogares_computador_tablet,40.6,nacional,DANE_ENTIC_Hogares,%
CALDAS,2021,pct_hogares_internet,66.8,nacional,DANE_ENTIC_Hogares,%
CAQUETÁ,2021,pct_hogares_computador_tablet,20.2,nacional,DANE_ENTIC_Hogares,%
CAQUETÁ,2021,pct_hogares_internet,60.5,nacional,DANE_ENTIC_Hogares,%
CASANARE,2021,pct_hogares_computador_tablet,29.7,nacional,DANE_ENTIC_Hogares,%
CASANARE,2021,pct_hogares_internet,53.1,nacional,DANE_ENTIC_Hogares,%
CAUCA,2021,pct_hogares_computador_tablet,18.7,nacional,DANE_ENTIC_Hogares,%
CAUCA,2021,pct_hogares_internet,31.7,nacional,DANE_ENTIC_Hogares,%
CESAR,2021,pct_hogares_computador_tablet,24.2,nacional,DANE_ENTIC_Hogares,%
CESAR,2021,pct_hogares_internet,44.8,nacional,DANE_ENTIC_Hogares,%
CHOCÓ,2021,pct_hogares_computador_tablet,13.5,nacional,DANE_ENTIC_Hogares,%
CHOCÓ,2021,pct_hogares_internet,14.6,nacional,DANE_ENTIC_Hogares,%
CÓRDOBA,2021,pct_hogares_computador_tablet,17.8,nacional,DANE_ENTIC_Hogares,%
CÓRDOBA,2021,pct_hogares_internet,30.3,nacional,DANE_ENTIC_Hogares,%
CUNDINAMARCA,2021,pct_hogares_computador_tablet,40.8,nacional,DANE_ENTIC_Hogares,%
CUNDINAMARCA,2021,pct_hogares_internet,60.8,nacional,DANE_ENTIC_Hogares,%
GUAINÍA,2021,pct_hogares_computador_tablet,11.9,nacional,DANE_ENTIC_Hogares,%
GUAINÍA,2021,pct_hogares_internet,24.1,nacional,DANE_ENTIC_Hogares,%
GUAVIARE,2021,pct_hogares_computador_tablet,18.2,nacional,DANE_ENTIC_Hogares,%
GUAVIARE,2021,pct_hogares_internet,35.7,nacional,DANE_ENTIC_Hogares,%
HUILA,2021,pct_hogares_computador_tablet,30.5,nacional,DANE_ENTIC_Hogares,%
HUILA,2021,pct_hogares_internet,51.5,nacional,DANE_ENTIC_Hogares,%
LA GUAJIRA,2021,pct_hogares_computador_tablet,11.6,nacional,DANE_ENTIC_Hogares,%
LA GUAJIRA,2021,pct_hogares_internet,28.6,nacional,DANE_ENTIC_Hogares,%
MAGDALENA,2021,pct_hogares_computador_tablet,18.9,nacional,DANE_ENTIC_Hogares,%
MAGDALENA,2021,pct_hogares_internet,48.8,nacional,DANE_ENTIC_Hogares,%
META,2021,pct_hogares_computador_tablet,30.9,nacional,DANE_ENTIC_Hogares,%
META,2021,pct_hogares_internet,63.2,nacional,DANE_ENTIC_Hogares,%
NARIÑO,2021,pct_hogares_computador_tablet,22.8,nacional,DANE_ENTIC_Hogares,%
NARIÑO,2021,pct_hogares_internet,41.9,nacional,DANE_ENTIC_Hogares,%
NORTE DE SANTANDER,2021,pct_hogares_computador_tablet,28.8,nacional,DANE_ENTIC_Hogares,%
NORTE DE SANTANDER,2021,pct_hogares_internet,63.4,nacional,DANE_ENTIC_Hogares,%
PUTUMAYO,2021,pct_hogares_computador_tablet,17.4,nacional,DANE_ENTIC_Hogares,%
PUTUMAYO,2021,pct_hogares_internet,29.1,nacional,DANE_ENTIC_Hogares,%
QUINDÍO,2021,pct_hogares_computador_tablet,42.7,nacional,DANE_ENTIC_Hogares,%
QUINDÍO,2021,pct_hogares_internet,63.0,nacional,DANE_ENTIC_Hogares,%
RISARALDA,2021,pct_hogares_computador_tablet,42.3,nacional,DANE_ENTIC_Hogares,%
